name,url,price_old,price_new,image,description,article,brand,weight,country,application,warning,consist,status
"Твердий шампунь проти випадіння волосся з лавандою та розмарином THALIA, 115 г",https://livesta.com.ua/index.php?route=product/product&product_id=8395,225.0,179.0,https://livesta.com.ua/image/cache/import_files/ac/ac6b32dfcf3c11ec963b3cecef28bac7_1f7d30cfd0a111ec963b3cecef28bac7-400x400.jpg,,#220113,THALIA,115 г,ТУРЕЧЧИНА,"Для зовнішнього використання змочити водою шампунь і спінити його в руках, попередньо також змочивши волосся теплою водою. Нанести піну на голову масажними рухами. Ретельно змити.",Зберігати в недоступному для дітей місці. Уникати контакту з очима. Не використовувати після закінчення терміну придатності.,"пальмат натрію, пальмовий кернелат натрію, вода, натрію кокоїл ізетіонат, бегентримонію метосульфат, віддушка, цетиловий спирт, гліцерин, цетеариловий спирт, хлористий натрій, бегентримонію хлорид, полікватерній-68, екстракт лаванди вузьколистої, екстракт розмарину лікарського, децилтетрадеканол, бегеніловий спирт, олеїл ерукат, тетранатрію етидронат, тетранатрій ЕДТА, бензиловий спирт, дегідрооцтова кислота, ліналоол, кумарин, лімонен.",В наявності
"СС крем з SPF 15 ALIX AVIEN, зелений, 40 мл",https://livesta.com.ua/index.php?route=product/product&product_id=8938,090.0,549.0,https://livesta.com.ua/image/cache/import_files/5a/5ac1d691faf511ec963b3cecef28bac7_9f4ab7fd1a1011ed963d3cecef28bac7-400x400.jpg,"СС крем покликаний створювати на поверхні шкіри оптимально однорідний колір і забезпечувати контроль над тоном обличчя протягом дня. 
СС крем можна назвати засобом «все в одному» завдяки його багатофункціональності. Адже він здатен замінити відразу кілька продуктів макіяжу і догляду за шкірою, таких як сонцезахисний крем, праймер під макіяж, консилер, зволожуючий крем, а також тональний засіб. 
Приховуючи недоліки і дефекти шкіри, СС крем надає їй сяючий і здоровий вигляд. 
Більш того, продукт забезпечує інтенсивне зволоження та захищає шкіру від шкідливих впливів сонячних променів завдяки SPF 15. 
Не містить шкідливих для здоров’я речовин.",#254320,ALIX AVIEN,40 мл,ІТАЛІЯ,Для зовнішнього використання розподілити пальцями або за допомогою спонжа по чистій шкірі обличчя та шиї.,Щільно закривати. Зберігати при кімнатній температурі в недоступному для дітей місці. Не використовувати після закінчення терміну придатності.,"Вода, циклопентасилоксан, гліцерин, оксид цинку, диметикон, етилгексилметоксициннамат, ізопропілміристат, PEG-10 диметикон, бутилметоксидибензоїлметан, октокрилен, сорбітан оліват, бензофенон-3, етилгексилсаліцилат, натрію хлорид, феноксиетанол, бджолиний віск, канделільський віск, віддушка, диметил силілат кремнію, сополімер стиролу/акрилатів/метакрилату амонію, триетилцитрат, етилгексилгліцерин, ліналоол, цитронелол, альфа-ізометил іонон, лімонен, бензиловий спирт (+/- (може містити): CI 77491, CI 47005, CI 77492, CI 77891, CI 42090).",В наявності
"Спрей-шимер для тіла Pink&Chic THALIA, 200 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9446,550.0,399.0,https://livesta.com.ua/image/cache/import_files/f2/f2d78932bd8c11ed96413cecef28bac7_b9553fa0c7d611ed96423cecef28bac7-400x400.jpg,"Мерехтливий шимер для тіла Pink&Chic перетворюється на стильний солодко-прохолодний парфум із нотками жасмину, сандалового дерева, мускусу та амбри. А блискучі рожеві часточки нададуть вашій шкірі неперевершено вабливого й гламурного сяйва. Завдяки ширококутному розпилювачу продукт легко розподіляється по шкірі, добре поглинається й не залишає відчуття липкості. Не містить парабенів, сульфатів SLES/SLS, парафінів, тваринних олій та шкідливих для здоров‘я речовин.",#224602,THALIA,200 мл,ТУРЕЧЧИНА,Для зовнішнього використання. Перед застосуванням ретельно струсити флакон. Рівномірно розпилити достатню кількість продукту на чисту шкіру. Можна застосовувати за потреби в будь-який час протягом дня.,Уникати контакту з очима. У разі потрапляння в очі промити великою кількістю води. Зберігати за кімнатної температури в недоступному для дітей місці. Не використовувати після закінчення терміну придатності.,"Денатурований спирт, вода, віддушка, акрилати/C10-30 алкілакрилат кросполімер, триетаноламін, кальцію алюмінію боросилікат, кремнезем, оксид олова, бензиловий спирт, CI 77891 (діоксид титану), CI 14720 (кислотно-червоний 14).",В наявності
"Сонцезахисний крем проти зморшок із SPF 30 FLOSLEK, 30 мл",https://livesta.com.ua/index.php?route=product/product&product_id=8861,500.0,099.0,https://livesta.com.ua/image/cache/import_files/88/8871bac4e10911ec963b3cecef28bac7_f53ccbf1e90a11ec963b3cecef28bac7-400x400.jpg,,#312003,FLOSLEK LABORATORIUM,30 мл,ПОЛЬЩА,"Для зовнішнього використання розподілити крем рівномірно по обличчю за 30 хвилин до виходу на сонце. Використовувати протягом дня в разі потреби, особливо під час перебування на сонці та після купання в солоній воді.","Уникати контакту з очима. У разі потрапляння в очі промити великою кількістю води. Зберігати в недоступному для дітей місці. У разі виникнення небажаних реакцій звернутися до лікаря. Спеціальні засоби для засмаги не гарантують 100% захисту. Навіть якщо ви користуєтеся такими засобами, уникайте перебування на сонці надто довго та в період особливо сильної сонячної активності (11:00-15:00), а також користуйтеся засобами з необхідним саме для вашої шкіри рівнем захисту. Тривале перебування на сонці є серйозною загрозою для вашого здоров'я. Не використовувати після закінчення терміну придатності.","Вода, етилгексилметоксициннамат, C12-15 алкілбензоат, Біс-етилгексилоксифенол метоксифенілтриазин, діетіламіногідроксибензоїл гексилбензоат, ізододекан, гліцерил стеарат, гліцерин, пропіленгліколь, бутиленгліколь дикаприлат/дикапрат, поліуретан - 34, цетеариловий спирт, сополімер гідроксиетилакрилату/акрилоїлдиметилтаурату натрію, цетеарет-20, цетеарет-12, цетилпальмітат, сквалан, полісорбат 60, сорбітану ізостеарат, пантенол, пальмітоіл олігопептид, пальмітоіл тетрапептид-7, масло ши, екстракт алое деревоподібного, токоферил ацетат, бутиленгліколь, карбомер, полісорбат 20, лактат натрію, лимонна кислота, віддушка, дециленгліколь, метилпрандіол, каприлілгліколь, фенілпропанол, о-цимен-5-ол, триетаноламін, бутилгідрокситолуол.",В наявності
"Рідка матова помада Livesta 7 Елегантний бразилін, 5,5 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9078,350.0,249.0,https://livesta.com.ua/image/cache/import_files/43/432794b5339511ed963d3cecef28bac7_3c5ea25556d411ed963f3cecef28bac7-400x400.jpg,"Рідка помада забезпечує насичений колір із матовим завершенням, не сушить губи, надаючи комфортне відчуття протягом дня. Кремова текстура   та пом'якшуючі компоненти зволожують ніжну шкіру губ, а зручний аплікатор дозволяє легко наносити і рівномірно розподіляти необхідну кількість   для акуратного макіяжу губ. Стійкий матовий ефект надає макіяжу виняткового вигляду. Не містить шкідливих для здоров'я речовин.",#114007,LIVESTA,5.5 мл,ТУРЕЧЧИНА,"Для зовнішнього використання нанести необхідну кількість рідкої помади на губи та рівномірно розподілити від центру до країв, щоб уникнути занадто щільного шару в куточках губ. Для максимального ефекту нанести подвійний шар в центрі. Рекомендується використовувати олівець для губ.",Уникати контакту з очима. У разі потрапляння в очі промити великою кількістю води. Зберігати в недоступному для дітей місці за кімнатної температури. Уникати попадання сонячних променів. Не використовувати у разі наявності алергічної реакції на будь-який з компонентів. Не використовувати після закінчення терміну придатності.,"ізододекан, триметилсилоксисилікат, диметикон, бджолиний віск, дистеардімоніум гекторит, циклопентасилоксан, нейлон-12, пропіленкарбонат, циклогексасилоксан, феноксиетанол, тальк, віддушка, етилгексилгліцерин, токоферил ацетат, пентаеритритил тетра-ди-трет-бутил гідроксигідроциннамат. Може містити (+/-): CI 77891 (діоксид титану), CI 77491, CI 77492, CI 77499 (оксид заліза), CI 45410, CI 15985, CI 15850, CI 17200.",В наявності
"Рідка матова помада Livesta 3 Порцелянова троянда, 5,5 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9074,350.0,249.0,https://livesta.com.ua/image/cache/import_files/43/43279469339511ed963d3cecef28bac7_3c5e85e256d411ed963f3cecef28bac7-400x400.jpg,"Рідка помада забезпечує насичений колір із матовим завершенням, не сушить губи, надаючи комфортне відчуття протягом дня. Кремова текстура   та пом'якшуючі компоненти зволожують ніжну шкіру губ, а зручний аплікатор дозволяє легко наносити і рівномірно розподіляти необхідну кількість   для акуратного макіяжу губ. Стійкий матовий ефект надає макіяжу виняткового вигляду. Не містить шкідливих для здоров'я речовин.",#114003,LIVESTA,5.5 мл,ТУРЕЧЧИНА,"Для зовнішнього використання нанести необхідну кількість рідкої помади на губи та рівномірно розподілити від центру до країв, щоб уникнути занадто щільного шару в куточках губ. Для максимального ефекту нанести подвійний шар в центрі. Рекомендується використовувати олівець для губ.",Уникати контакту з очима. У разі потрапляння в очі промити великою кількістю води. Зберігати в недоступному для дітей місці за кімнатної температури. Уникати попадання сонячних променів. Не використовувати у разі наявності алергічної реакції на будь-який з компонентів. Не використовувати після закінчення терміну придатності.,"ізододекан, триметилсилоксисилікат, диметикон, бджолиний віск, дистеардімоніум гекторит, циклопентасилоксан, нейлон-12, пропіленкарбонат, циклогексасилоксан, феноксиетанол, тальк, віддушка, етилгексилгліцерин, токоферил ацетат, пентаеритритил тетра-ди-трет-бутил гідроксигідроциннамат. Може містити (+/-): CI 77891 (діоксид титану), CI 77491, CI 77492, CI 77499 (оксид заліза), CI 45410, CI 15985, CI 15850, CI 17200.",В наявності
"Протеїновий крем для волосся Rain, 500 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9211,380.0,299.0,https://livesta.com.ua/image/cache/import_files/4f/4f649fa6585311ed963f3cecef28bac7_2491e820756411ed96413cecef28bac7-400x400.jpg,"Спеціально розроблений крем із протеїном та аргановою олією підходить для всіх типів волосся. Формула крему збагачена вітамінами та амінокислотами, які здатні надати вашому волоссю вражаючого блиску, необхідного зволоження й живлення. Продукт оздоровлює прядки, забезпечує доглянутий вигляд зачіски та ідеальне укладання без особливих зусиль. 
Не містить шкідливих для здоров’я речовин.",#402107,Rain,500 мл,ТУРЕЧЧИНА,"Для зовнішнього використання. Для найкращих результатів використовувати крем до та після миття голови.   До миття: нанести крем на волосся та зробити легкий масаж, починаючи від коренів і рухаючись до самих кінчиків. Витримати 15 хвилин, після чого ретельно вимити голову шампунем і кондиціонером.   Після миття: для бездоганної укладки, ефектної зачіски та чарівного блиску нанести невелику кількість крему на вологе, підсушене рушником волосся. Розподілити по волоссю, приділяючи особливу увагу кінчикам, та зробити бажану укладку.",Уникати контакту з очима. У разі потрапляння в очі промити  великою кількістю води. Тримати подалі від прямих сонячних променів. Зберігати за  кімнатної температури в недоступному для дітей місці. Не використовувати після  закінчення терміну придатності.,"Вода,   цетеариловий   спирт,   гліцерил   стеарат   SE,   рідкий   парафін,  пропіленгліколь,  цетеарет-11,  цетримонію  хлорид,  полікватерніум-7,  гліцерин,  бензиловий  спирт  (та)  метилхлорізотіазолінон  (та)  метилізотіазолінон,  віддушка,  арганова олія, Д-пантенол, токоферил ацетат.",В наявності
"Пудра-заповнювач для брів 01 ALIX AVIEN, 0,7 г",https://livesta.com.ua/index.php?route=product/product&product_id=8554,150.0,99.0,https://livesta.com.ua/image/cache/import_files/ac/ac6b337ecf3c11ec963b3cecef28bac7_4982aaefd73911ec963b3cecef28bac7-400x400.jpg,,#254209,ALIX AVIEN,0.7 г,ТУРЕЧЧИНА,Для зовнішнього використання наносити штрихами в напрямку росту брів.,Щільно закручувати ковпачок з аплікатором. Зберігати в недоступному для дітей місці. Не використовувати після закінчення терміну придатності.,"Тальк, октенілсукцинат алюмінію крохмалю, кросполімер HDI/триметилол гексилактону, поліметилметакрилат, диметикон, етилгексилпальмітат, кремнезем, стеарат цинку, феноксиетанол, триетоксикаприлилсилан, гідроксид алюмінію, етилгексилгліцерин (+/- (може містити): CI 77891, CI 77491, CI 77492, СІ 77499).",В наявності
"Туш для вій ALIX AVIEN 3 в 1, 10 мл",https://livesta.com.ua/index.php?route=product/product&product_id=8636,630.0,299.0,https://livesta.com.ua/image/cache/import_files/ac/ac6b33d0cf3c11ec963b3cecef28bac7_b523844fe0bf11ec963b3cecef28bac7-400x400.jpg,,#253602,ALIX AVIEN,10 мл,ІТАЛІЯ,"Для зовнішнього використання та для досягнення найкращого результату починати нанесення від коренів вій, проводячи тушшю вгору зигзагоподібними рухами. Після висихання нанести другий або третій шар.",Щільно закривати. Зберігати в недоступному для дітей місці. Не використовувати після закінчення терміну придатності.,"Вода, CI 77499 (оксиди заліза), гліцерил стеарат, мікрокристалічний віск, касторова олія, карнаубський віск,  полівініловий спирт, пропіленгліколь, стеаринова кислота, триетаноламін, пальмітинова кислота, феноксиетанол, дегідроацетат натрію, лецитин, токоферол, аскорбіл пальмітат, трополон, лимонна кислота.",В наявності
"Об'ємна туш для вій ALIX AVIEN, 10 мл",https://livesta.com.ua/index.php?route=product/product&product_id=8637,630.0,299.0,https://livesta.com.ua/image/cache/import_files/ac/ac6b33d1cf3c11ec963b3cecef28bac7_ab5d4912e0bf11ec963b3cecef28bac7-400x400.jpg,,#253603,ALIX AVIEN,10 мл,ІТАЛІЯ,"Для зовнішнього використання та для досягнення найкращого результату починати нанесення від коренів вій, проводячи тушшю вгору зигзагоподібними рухами. Після висихання нанести другий або третій шар.",Щільно закривати. Зберігати в недоступному для дітей місці. Не використовувати після закінчення терміну придатності.,"Вода, CI 77499 (оксиди заліза), гліцерил стеарат, мікрокристалічний вік, касторова олія, карнаубський віск,  полівініловий спирт, пропіленгліколь, стеаринова кислота, триетаноламін, пальмітинова кислота, феноксиетанол, дегідроацетат натрію, лецитин, токоферол, аскорбіл пальмітат, трополон, лимонна кислота.",В наявності
"Подовжуюча туш для вій «Dream Length” Livesta, 12 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9070,320.0,229.0,https://livesta.com.ua/image/cache/import_files/43/4327941d339511ed963d3cecef28bac7_3c5e859256d411ed963f3cecef28bac7-400x400.jpg,"Легка формула туші з інтенсивним пігментом забезпечує підкручення, збільшення об’єму та ефект відкритого погляду, що зберігається протягом усього дня. Туш «Dream Length» покриває вії від коренів до кінчиків надаючи їм подовження і розділення, не злипається та не розмазується.  Не містить шкідливих для здоров'я речовин.",#113601,LIVESTA,12 мл,ТУРЕЧЧИНА,"Для зовнішнього використання та для досягнення найкращого результату починати нанесення від коренів вій, проводячи тушшю вгору зигзагоподібними рухами. Після висихання за бажанням нанести другий або третій шар.",Щільно закривати. Зберігати в недоступному для дітей місці за кімнатної температури. Не використовувати у разі наявності алергічної реакції на будь-який з компонентів. Не використовувати після закінчення терміну придатності.,"вода, парафін, гліцерил стеарат, синтетичний віск, стеаринова кислота, камедь сенегальської акації, бутиленгліколь, пальмітинова кислота, віск з висівок рису, полібутен, ейкозен співполімер, озокерит, амінометил пропанол, гідрогенізована рослинна олія, феноксіетанол, стеаріл стеарат, гідроксіетилцелюлоза, трополон, CI 77499 (чорний оксид заліза).",В наявності
"Об'ємна туш для вій “Impressive Volume” Livesta, 12 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9071,320.0,229.0,https://livesta.com.ua/image/cache/import_files/43/43279430339511ed963d3cecef28bac7_3c5e85a656d411ed963f3cecef28bac7-400x400.jpg,"Універсальна кремова формула туші, яка дуже проста у нанесенні, щедро фарбує вії, надаючи їм густоти та довжини. Стійка туш   «Impressive Volume» забезпечує дивовижний вигляд очей надаючи додатковий об’єм і збільшення вій.   Не містить шкідливих для здоров'я речовин.",#113602,LIVESTA,12 мл,ТУРЕЧЧИНА,"Для зовнішнього використання та для досягнення   найкращого результату починати нанесення від коренів вій, проводячи   тушшю вгору зигзагоподібними рухами. Після висихання за бажанням   нанести другий або третій шар.",Щільно закривати. Зберігати в недоступному для дітей місці за кімнатної температури. Не використовувати у разі наявності   алергічної реакції на будь-який з компонентів.   Не використовувати після закінчення терміну придатності,"вода, парафін, гліцерил стеарат, синтетичний віск, 
стеаринова кислота, камедь сенегальської акації, бутиленгліколь, 
пальмітинова кислота, віск з висівок рису, полібутен, ейкозен 
співполімер, озокерит, амінометил пропанол, гідрогенізована 
рослинна олія, феноксіетанол, стеаріл стеарат, 
гідроксіетилцелюлоза, трополон, CI 77499 (чорний оксид заліза).",В наявності
"Рідка матова помада Livesta 3 Порцелянова троянда, 5,5 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9074,350.0,249.0,https://livesta.com.ua/image/cache/import_files/43/43279469339511ed963d3cecef28bac7_3c5e85e256d411ed963f3cecef28bac7-400x400.jpg,"Рідка помада забезпечує насичений колір із матовим завершенням, не сушить губи, надаючи комфортне відчуття протягом дня. Кремова текстура   та пом'якшуючі компоненти зволожують ніжну шкіру губ, а зручний аплікатор дозволяє легко наносити і рівномірно розподіляти необхідну кількість   для акуратного макіяжу губ. Стійкий матовий ефект надає макіяжу виняткового вигляду. Не містить шкідливих для здоров'я речовин.",#114003,LIVESTA,5.5 мл,ТУРЕЧЧИНА,"Для зовнішнього використання нанести необхідну кількість рідкої помади на губи та рівномірно розподілити від центру до країв, щоб уникнути занадто щільного шару в куточках губ. Для максимального ефекту нанести подвійний шар в центрі. Рекомендується використовувати олівець для губ.",Уникати контакту з очима. У разі потрапляння в очі промити великою кількістю води. Зберігати в недоступному для дітей місці за кімнатної температури. Уникати попадання сонячних променів. Не використовувати у разі наявності алергічної реакції на будь-який з компонентів. Не використовувати після закінчення терміну придатності.,"ізододекан, триметилсилоксисилікат, диметикон, бджолиний віск, дистеардімоніум гекторит, циклопентасилоксан, нейлон-12, пропіленкарбонат, циклогексасилоксан, феноксиетанол, тальк, віддушка, етилгексилгліцерин, токоферил ацетат, пентаеритритил тетра-ди-трет-бутил гідроксигідроциннамат. Може містити (+/-): CI 77891 (діоксид титану), CI 77491, CI 77492, CI 77499 (оксид заліза), CI 45410, CI 15985, CI 15850, CI 17200.",В наявності
"Жіночий парфумований спрей-міст для тіла Lady's Secret Rush, 250 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9005,400.0,299.0,https://livesta.com.ua/image/cache/import_files/99/99bc853a0dcc11ed963b3cecef28bac7_44bda44a1d5711ed963d3cecef28bac7-400x400.jpg,"Верхні ноти: персик, абрикос, лимон
Ноти серця: кокос, ванільне молоко
Шлейфові ноти: нота сандала, ваніль, мускус

Парфумований міст стане відмінним вибором для кожної пані! Він має не такий інтенсивний та яскраво виражений запах, як парфуми, тому не обтяжує образ, не набридає, а навпаки - додає жінці особливої чарівності. Міст залишає на тілі стійкий вишуканий аромат, чудово освіжає, а також забезпечує необхідний догляд за шкірою. Не містить шкідливих для здоров’я речовин.",#284613,Lady's Secret,250 мл,ТУРЕЧЧИНА,Для зовнішнього використання розпилити спрей на чисту та суху шкіру з відстані 15 см. Використовувати відразу після душу або за бажанням протягом усього дня.,"Легкозаймистий. Не застосовувати засіб біля вогню, джерел займання та розпечених предметів. Не наносити на подразнену шкіру. Не розпиляти безпосередньо на обличчя та в очі. У разі потрапляння в очі промити великою кількістю води. Зберігати при кімнатній температурі в недоступному для дітей місці. Не використовувати після закінчення терміну придатності.","Денатурований спирт, вода, віддушка, гліцерин, ПЕГ-20 метил глюкози сесквістеарат, бензофенон-4, триетаноламін, ліналоол, лімонен, бензилсаліцилат, кумарин, цитраль.",В наявності
"Парфумована вода для жінок Livesta, 50 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9043,700.0,499.0,https://livesta.com.ua/image/cache/import_files/b6/b683499f1f9511ed963d3cecef28bac7_3726eb4842ea11ed963e3cecef28bac7-400x400.jpg,"Акватичні, квіткові.  

Верхні ноти: ківі, ревінь, рожевий перець  
Ноти серця: кавун, цикламен, жасмин  
Шлейфові ноти: мускус, сандал, лимонне дерево",#114501,LIVESTA,50 мл,ТУРЕЧЧИНА,Тільки для зовнішнього використання. При нанесенні тримати флакон вертикально,"Не розпиляти поблизу відкритого вогню, легкозаймистих матеріалів або розпечених предметів. Уникати нагрівання вище 50° С та впливу прямих сонячних променів. Легкозаймистий. Уникати контакту з очима. У разі потрапляння в очі промити великою кількістю води. Не розпиляти на подразнену шкіру. Не ковтати. Зберігати в прохолодному місці подалі від дітей. Не використовувати після закінчення терміну придатності.","Денатурований Спирт, Віддушка, Вода, Бензофенон-3, Гераніол, Cı 19140 (Жовтий Барвник), Cı 15985 (Жовто-Помаранчевий Барвник).",В наявності
"Парфумована вода для жінок Angel, 50 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9050,700.0,499.0,https://livesta.com.ua/image/cache/import_files/b6/b6834a241f9511ed963d3cecef28bac7_59f24b2442ea11ed963e3cecef28bac7-400x400.jpg,"Цитрусові, квіткові.  
Верхні ноти: листя чаю, лимон, неролі  
Ноти серця: квітка плюмерії, жасмин,  апельсиновий цвіт  
Шлейфові ноти: білий мускус, кедр,  пачулі, ваніль",#114508,LIVESTA,50 мл,ТУРЕЧЧИНА,Тільки для зовнішнього використання. При нанесенні тримати флакон вертикально,"Не розпиляти поблизу відкритого вогню, легкозаймистих матеріалів або розпечених предметів. Уникати нагрівання вище 50° С та впливу прямих сонячних променів. Легкозаймистий. Уникати контакту з очима. У разі потрапляння в очі промити великою кількістю води. Не розпиляти на подразнену шкіру. Не ковтати. Зберігати в прохолодному місці подалі від дітей. Не використовувати після закінчення терміну придатності.","Денатурований Спирт, Віддушка, Вода, Цитраль, Цитронелол, Лімонен, Ліналоол.",В наявності
"Парфумована вода для жінок Elma, 50 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9051,700.0,499.0,https://livesta.com.ua/image/cache/import_files/b6/b6834a371f9511ed963d3cecef28bac7_59f24b7e42ea11ed963e3cecef28bac7-400x400.jpg,"Квіткові.  
Верхні ноти: магнолія, грейпфрут, огірок  
Ноти серця: троянда, фіалка, конвалія,  зелене яблуко, тубероза  
Шлейфові ноти: деревні ноти, біла амбра, сандал",#114509,LIVESTA,50 мл,ТУРЕЧЧИНА,Тільки для зовнішнього використання. При нанесенні тримати флакон вертикально,"Не розпиляти поблизу відкритого вогню, легкозаймистих матеріалів або розпечених предметів. Уникати нагрівання вище 50° С та впливу прямих сонячних променів. Легкозаймистий. Уникати контакту з очима. У разі потрапляння в очі промити великою кількістю води. Не розпиляти на подразнену шкіру. Не ковтати. Зберігати в прохолодному місці подалі від дітей. Не використовувати після закінчення терміну придатності.","Денатурований Спирт, Віддушка, Вода, Цитронелол, Гераніол, Гидроксицитронеллаль, Ізоевгенол, Лімонен, Ліналоол, Альфа-Ізометил Іонон.",В наявності
"Жіночий роликовий дезодорант Livesta Fresh, 50 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9318,149.0,99.0,https://livesta.com.ua/image/cache/import_files/8d/8d2edd7d98d411ed96413cecef28bac7_b9553c7bc7d611ed96423cecef28bac7-400x400.jpg,Дезодорант ефективно захищає від негативних наслідків потовиділення протягом 48 годин і забезпечує тривале відчуття свіжості. Підходить для всіх типів шкіри. Не містить шкідливих для здоров’я речовин.,#112604,LIVESTA,50 мл,ТУРЕЧЧИНА,"Для зовнішнього використання нанести на чисту суху шкіру під пахвами, дати висохнути.",Уникати контакту з очима. У разі потрапляння в очі промити великою кількістю води. Не застосовувати на пошкодженій шкірі. У разі виникнення подразнення припинити використання. Зберігати за кімнатної температури в недоступному для дітей місці. Не використовувати після закінчення терміну придатності.,"Вода, денатурований спирт, віддушка, C12-15 алкіллактат, гліцерин, ПЕГ-40 гідрогенізована касторова олія, гідроксіетилцелюлоза, триклозан, динатрію ЕДТА, ППГ-20 метилглюкози ефір дистеарат.",В наявності
"Жіноча парфумована вода Chilly Spring Thalia, 100 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9428,400.0,999.0,https://livesta.com.ua/image/cache/import_files/f2/f2d7865ebd8c11ed96413cecef28bac7_b9553d7ac7d611ed96423cecef28bac7-400x400.jpg,"Група ароматів: квіткові, фруктові, пудрові  
Верхні ноти: чорна смородина, водяний акорд, грейпфрут, абрикос  
Ноти серця: конвалія, жасмин, троянда, диня  
Шлейфові ноти: мускус, червоне яблуко
Chilly Spring – це віддзеркалення духу життєрадісних й вільних жінок. Іскристі фруктові ноти, переплітаючись з пудровими квітковими пахощами, наповнять ваше серце радістю та енергію ранньої прохолодної весни. 
Не містить шкідливих для здоров‘я речовин.",#224522,THALIA,100 мл,ТУРЕЧЧИНА,"Для зовнішнього використання розпилити на шкіру, тримаючи флакон вертикально.","Не розпиляти поблизу відкритого вогню, легкозаймистих матеріалів або розпечених предметів. Уникати нагрівання вище 50° С та впливу прямих сонячних променів. Не містить газiв та не шкодить навколишньому середовищу. Уникати контакту з очима. У разі потрапляння в очі промити великою кількістю води. Не розпиляти на подразнену шкіру. Не ковтати. Зберігати в недоступному для дітей місці. Не використовувати після закінчення терміну придатності.","Денатурований спирт, віддушка, вода, ППГ-20 метилглюкози ефір, цитраль, цитронелол, гераніол, гідроксицитронеллаль, ізоевгенол, ліналоол.",
"Денний омолоджуючий крем для обличчя з муцином равлика THALIA, 50 мл",https://livesta.com.ua/index.php?route=product/product&product_id=8441,550.0,349.0,https://livesta.com.ua/image/cache/import_files/ac/ac6b330dcf3c11ec963b3cecef28bac7_2bf16daed0a111ec963b3cecef28bac7-400x400.jpg,,#221010,THALIA,50 мл,ТУРЕЧЧИНА,Для зовнішнього використання наносити вранці невелику кількість крему на чисту суху шкіру обличчя та шиї легкими масажними рухами.,У разі потрапляння в очі промити великою кількістю води. Зберігати в недоступному для дітей місці при кімнатній температурі. Не використовувати після закінчення терміну придатності.,"Вода, цетеариловий спирт, каприловий/каприновий тригліцерид, масло ши, гліцерин, цетеарил ізононаноат, циклопентасилоксан, цетилпальмітат, цетеарет-12, гліцерин стеарат, цетеарет-20, пропіленгліколь, екстракт квітів ромашки лікарської, пантенол, віддушка, токоферил ацетат, алантоїн, феноксиетанол, екстракт настурції лікарської, ксантанова камедь, бензойна кислота, лимонна кислота, тетранатрій ЕДТА, екстракт кореня женьшеню, дегідрооцтова кислота, екстракт хмелю, екстракт фукуса, лімонен, гексилциннамаль, гідроксицитронелаль, цитронелол.",В наявності
"Відновлюючий гель-пілінг для обличчя з екстрактом рожевого грейпфрута THALIA, 170 мл",https://livesta.com.ua/index.php?route=product/product&product_id=8450,240.0,169.0,https://livesta.com.ua/image/cache/import_files/ac/ac6b3316cf3c11ec963b3cecef28bac7_73fb0128e0c211ec963b3cecef28bac7-400x400.jpg,"Рожевий грейпфрут з Ямайки є джерелом вітаміну С, калію та антиоксидантів. Це унікальний інгредієнт, який роками використовується в догляді за шкірою. 
Гель-пілінг з екстрактом рожевого грейпфрута спеціально розроблений для видалення омертвілих клітин із поверхні шкіри, не подразнюючи її завдяки активному інгредієнту AHA та відсутності великих гранул у текстурі. 
Гель допомагає усунути шрами та плями від прищів, ретельно, проте делікатно очищаючи шкіру. Такий пілінг сприяє кращому поглинанню шкірою зволожуючих кремів при подальших доглядових процедурах. Після змивання гель-пілінгу шкіра обличчя набуває оксамитової м’якості. Не містить SLES/SLS, парабенів і парафінів. Не містить шкідливих для здоров’я речовин.",#220804,THALIA,170 мл,ТУРЕЧЧИНА,Очистити обличчя та обережно витерти рушником насухо. Для зовнішнього використання нанести гель-пілінг на обличчя та втирати круговими рухами протягом однієї хвилини. Змити теплою водою. Використовувати 1 або 2 рази на тиждень.,"Уникати прямого контакту з очима. У разі потрапляння в очі промити великою кількістю води. Зберігати в недоступному для дітей місці при кімнатній температурі, подалі від сонячних променів. Не використовувати після закінчення терміну придатності.","Вода, карбомер, етиловий спирт, гліцерет-26, цетримонію хлорид, віддушка, гліцерин, молочна кислота, екстракт плодів рожевого грейпфрута, екстракт шкірки рожевого грейпфрута, сік лимонного дерева, гліколева кислота, сік манго, екстракт пасифлори (маракуї), лимонна кислота, бензиловий спирт, дегідрооцтова кислота, лімонен, CI 16255 (кислотно-червоний 18), CI 19140 (жовте 5 озеро).",В наявності
